id,query_id,query_group_id,execution_id,brand_in_response,total_sources,sources_with_brand,brand_mention_percentage
955148,259849,6516,13857,0,1,0,0.00
955147,259848,6516,13857,1,1,0,0.00
955146,259847,6516,13857,0,1,0,0.00
955145,259846,6516,13857,0,1,0,0.00
955144,259845,6516,13857,0,1,0,0.00
955143,259844,6516,13857,0,1,0,0.00
955142,259843,6516,13857,0,1,0,0.00
955141,259842,6516,13857,0,1,0,0.00
955140,259841,6516,13857,0,1,0,0.00
955139,259840,6516,13857,1,1,0,0.00
955138,259839,6516,13857,1,1,0,0.00
955137,259838,6516,13857,0,1,0,0.00
955136,259837,6516,13857,0,1,0,0.00
955135,259836,6516,13857,0,1,0,0.00
955134,259835,6516,13857,0,1,0,0.00
955133,259834,6516,13857,0,1,0,0.00
955132,259833,6516,13857,1,1,0,0.00
955131,259832,6516,13857,1,1,0,0.00
955130,259831,6516,13857,0,1,0,0.00
955129,259830,6516,13857,1,1,0,0.00
955128,259829,6516,13857,0,1,0,0.00
955127,259828,6516,13857,0,1,0,0.00
955126,259827,6516,13857,0,1,0,0.00
955125,259826,6516,13857,0,1,0,0.00
955124,259825,6516,13857,0,1,0,0.00
955123,259824,6516,13857,1,1,0,0.00
955122,259823,6516,13857,1,1,0,0.00
955121,259822,6516,13857,1,1,0,0.00
955120,259821,6516,13857,1,1,0,0.00
955119,259820,6516,13857,0,1,0,0.00
955118,259819,6516,13857,0,1,0,0.00
955117,259818,6516,13857,0,1,0,0.00
955116,259817,6516,13857,0,1,0,0.00
955115,259816,6516,13857,0,1,0,0.00
955114,259815,6516,13857,0,1,0,0.00
955113,259814,6516,13857,1,1,0,0.00
955112,259813,6516,13857,0,1,0,0.00
955111,259812,6516,13857,0,1,0,0.00
955110,259811,6516,13857,0,1,0,0.00
955109,259810,6516,13857,1,1,0,0.00
955108,259809,6516,13857,1,1,0,0.00
955107,259808,6516,13857,0,1,0,0.00
955106,259807,6516,13857,0,1,0,0.00
955105,259806,6516,13857,1,1,0,0.00
955104,259805,6516,13857,1,1,0,0.00
955103,259804,6516,13857,1,1,0,0.00
955102,259803,6516,13857,1,1,0,0.00
955101,259802,6516,13857,1,1,0,0.00
955100,259801,6516,13857,0,1,0,0.00
955099,259800,6516,13857,1,1,0,0.00
955085,259799,6515,13856,0,1,0,0.00
955084,259798,6515,13856,0,1,0,0.00
955083,259797,6515,13856,0,1,0,0.00
955082,259796,6515,13856,0,1,0,0.00
955081,259795,6515,13856,0,1,0,0.00
955080,259794,6515,13856,0,1,0,0.00
955079,259793,6515,13856,0,1,0,0.00
955078,259792,6515,13856,0,1,0,0.00
955077,259791,6515,13856,0,1,0,0.00
955076,259790,6515,13856,0,1,0,0.00
955075,259789,6515,13856,1,1,0,0.00
955074,259788,6515,13856,0,1,0,0.00
955073,259787,6515,13856,1,1,0,0.00
955072,259786,6515,13856,1,1,0,0.00
955071,259785,6515,13856,0,1,0,0.00
955070,259784,6515,13856,1,1,0,0.00
955069,259783,6515,13856,1,1,0,0.00
955068,259782,6515,13856,0,1,0,0.00
955067,259781,6515,13856,0,1,0,0.00
955066,259780,6515,13856,0,1,0,0.00
955065,259779,6515,13856,0,1,0,0.00
955064,259778,6515,13856,0,1,0,0.00
955063,259777,6515,13856,0,1,0,0.00
955062,259776,6515,13856,1,1,0,0.00
955061,259775,6515,13856,1,1,0,0.00
955060,259774,6515,13856,0,1,0,0.00
